iter	RMSE
129	1.074293611
130	1.070133455
131	1.066728556
132	1.063019245
133	1.056864195
134	1.052365443
135	1.047949002
136	1.04700711
137	1.041134463
138	1.037643613
139	1.035891237
140	1.032544051
141	1.026751549
142	1.024480818
143	1.02243627
144	1.01865874
145	1.015036123
146	1.010881544
147	1.00903428
148	1.003523485
149	0.9995373147
150	0.9956127282
151	0.9939057868
152	0.9908246908
153	0.9871456137
154	0.9828934952
155	0.9799930003
156	0.9746383185
157	0.972778498
158	0.9691385815
159	0.9656420588
160	0.9603702263
161	0.9568675396
162	0.9552747836
163	0.951915039
164	0.947922015
165	0.9432036739
166	0.9393723553
167	0.9360774787
168	0.9310848846
169	0.9278265438
170	0.923982106
171	0.9202787295
172	0.9183086518
173	0.9164046469
174	0.9132930622
175	0.9108792083
176	0.9072087905
177	0.905623764
178	0.904820672
179	0.9017038111
180	0.8987348884
181	0.8941041356
182	0.8901744334
183	0.8863774211
184	0.8835978508
185	0.8802385235
186	0.8775590498
187	0.8754341987
188	0.8750104897
189	0.8707671949
190	0.870019069
191	0.8671770705
192	0.8651456556
193	0.860636535
194	0.8578649954
195	0.8551635611
196	0.8512602097
197	0.8473399566
198	0.8433652326
199	0.8392224004
200	0.838771409
201	0.8361716308
202	0.8322234201
203	0.8302536976
204	0.8277737791
205	0.8242448376
206	0.8238092726
207	0.8212073208
208	0.817839323
209	0.8140638432
210	0.8116689752
211	0.810495619
212	0.8090735601
213	0.8086525805
214	0.8068077268
215	0.8043455131
216	0.8002490752
217	0.7980278184
218	0.7962242172
219	0.7957611109
220	0.7940247552
221	0.7917592359
222	0.7913720441
223	0.7870651698
224	0.7854000157
225	0.7850263392
226	0.7806552397
227	0.7802222946
228	0.7788549553
229	0.7774534288
230	0.7745400277
231	0.770543778
232	0.7692588308
233	0.7689030577
234	0.7650877319
235	0.7638417175
236	0.7634930321
237	0.7615920606
238	0.7610572874
239	0.7586275027
240	0.7559344029
241	0.7533303285
242	0.7509881367
243	0.7498099207
244	0.74739169
245	0.7470516809
246	0.7467210138
247	0.744434874
248	0.7432925903
249	0.7409634236
250	0.7404486408
251	0.7379323961
252	0.7356804851
253	0.7353604532
254	0.7342734742
255	0.7306783918
256	0.7302930645
257	0.7290253868
258	0.7277884658
259	0.7256281184
260	0.7252516923
261	0.723047236
262	0.7206606882
263	0.7185380713
264	0.7174912493
265	0.7154547121
266	0.7149686224
267	0.7146035993
268	0.7111116529
269	0.7106404203
270	0.7102887756
271	0.708184275
272	0.7053970583
273	0.7030945216
274	0.7014776199
275	0.6981954416
276	0.6971919868
277	0.6952294818
278	0.6947677228
279	0.6915111019
280	0.6910599425
281	0.6906242297
282	0.6894212543
283	0.6890892709
284	0.686727152
285	0.6836741583
286	0.6833492181
287	0.6819134087
288	0.6814987264
289	0.6784257633
290	0.6780203297
291	0.6777122628
292	0.6773238623
293	0.6749986345
294	0.6734313182
295	0.6704639767
296	0.6692520793
297	0.6674023349
298	0.6648804707
299	0.6638888262
300	0.6635085488
301	0.6618530928
302	0.6603232016
303	0.6577284141
304	0.6552207552
305	0.6541652862
306	0.6529716282
307	0.6514742265
308	0.649744415
309	0.6484953281
310	0.6462886715
311	0.6441455673
312	0.642605003
313	0.6411712366
314	0.6390903604
315	0.6376226362
316	0.6356016431
317	0.6341809173
318	0.6328053052
319	0.6301295619
320	0.6281702218
321	0.6264132849
322	0.6238305721
323	0.6215323466
324	0.62052417
325	0.6183278428
326	0.6174516891
327	0.6153514652
328	0.6145822477
329	0.6137396879
330	0.6129926448
331	0.6118744861
332	0.6115479386
333	0.6112305025
334	0.6109218688
335	0.610536981
336	0.610242505
337	0.6085205946
338	0.6065963725
339	0.6047265018
340	0.6032636811
341	0.6022194137
342	0.6003978168
343	0.5987461907
344	0.5971855416
345	0.5961292476
346	0.594590394
347	0.5928151211
348	0.5913338539
349	0.5903358011
350	0.5879708795
351	0.5876432338
352	0.5871778203
353	0.5869471415
354	0.5858998354
355	0.583152816
356	0.5827051203
357	0.5816731393
358	0.5814520528
359	0.5807287635
360	0.5804891296
361	0.5800607018
362	0.5790783772
363	0.5788859786
364	0.5771665671
365	0.5754953852
366	0.5718434716
367	0.5716514786
368	0.5712245014
369	0.5710407008
370	0.5675359436
371	0.5670675531
372	0.5668870018
373	0.5659751255
374	0.5658010352
375	0.5656313179
376	0.5624311992
377	0.561549579
378	0.5613820522
379	0.561218715
380	0.5603679929
381	0.5580705048
382	0.5579122717
383	0.5568386253
384	0.5546139218
385	0.5535584168
386	0.5534081687
387	0.5525277886
388	0.5494763119
389	0.5492601897
390	0.5490510607
391	0.5482368766
392	0.547193966
393	0.5463542604
394	0.5455391492
395	0.545335782
396	0.5433350983
397	0.5431935287
398	0.5430555289
399	0.5409316107
400	0.5401317267
401	0.5399369349
402	0.5381326719
403	0.5373852316
404	0.5367754527
405	0.5359981672
406	0.5342465441
407	0.5336490227
408	0.5319529459
409	0.5313690759
410	0.5298540672
411	0.5288544018
412	0.5278095782
413	0.5262050551
414	0.5252266794
415	0.5242763693
416	0.5233219108
417	0.5212215242
418	0.5202882213
419	0.5195705899
420	0.5186611332
421	0.5170472897
422	0.5150242421
423	0.5140621872
424	0.513348687
425	0.5126574209
426	0.5117281093
427	0.5111651535
428	0.5102689445
429	0.5082993715
430	0.5068233044
431	0.5059430404
432	0.5052567435
433	0.5043984517
434	0.5028374705
435	0.5009341425
436	0.5000461584
437	0.4992043154
438	0.4973594585
439	0.4965360069
440	0.495886356
441	0.4950475301
442	0.4942421822
443	0.4927425898
444	0.4909632271
445	0.4901489833
446	0.4893589818
447	0.4886677261
448	0.4878802934
449	0.4863962294
450	0.4856215832
451	0.4849471738
452	0.4832070351
453	0.4824487646
454	0.4817057462
455	0.4802597704
456	0.4785801491
457	0.4778238124
458	0.4770789091
459	0.4757856327
460	0.4741750338
461	0.473443494
462	0.4727718819
463	0.4714082027
464	0.4706665209
465	0.4699529861
466	0.4696407464
467	0.4680868834
468	0.4673663548
469	0.4666658516
470	0.4659800449
471	0.4647579254
472	0.464075096
473	0.4633885608
474	0.4621932855
475	0.4604276457
476	0.4598731492
477	0.4593490707
478	0.4587933628
479	0.4574362559
480	0.4568945805
481	0.455578586
482	0.4549121112
483	0.4543835145
484	0.4531125541
485	0.4525972919
486	0.4519533409
487	0.4499634901
488	0.449301801
489	0.4480328163
490	0.4467993343
491	0.4456027608
492	0.4450968285
493	0.4442068385
494	0.4437128972
495	0.4430999484
496	0.4426178553
497	0.4420970025
498	0.4409435666
499	0.4395308101
